season,player_id,player,team,pos,g,mp,pts_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,fg_percent,x3p_percent,e_fg_percent,avg_dist_fga,percent_fga_from_x0_3_range,percent_fga_from_x3p_range,fg_percent_from_x3p_range,percent_assisted_x3p_fg,percent_dunks_of_fga,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,net_plus_minus_per_100_poss,points_generated_by_assists
2026,claxtni01,Nic Claxton,BRK,C,19,567,16.4,8.8,4.7,0.8,1.5,1.9,3.1,0.555,0.0,0.555,5.1,0.474,0.046,0.0,,0.243,0.0,0.0,0.0,0.0,100.0,-3.2,174
2026,claytwa01,Walter Clayton,UTA,PG,15,234,12.0,4.6,7.4,1.2,0.6,3.2,3.7,0.382,0.27,0.456,17.5,0.044,0.544,0.27,0.8,0.015,76.0,25.0,0.0,0.0,0.0,1.1,116
2026,cliffni01,Nique Clifford,SAC,SG,17,268,8.7,5.9,3.8,0.8,0.5,1.5,4.8,0.367,0.321,0.442,15.5,0.1,0.467,0.321,0.889,0.017,6.0,48.0,38.0,8.0,0.0,11.6,70
2026,clingdo01,Donovan Clingan,POR,C,19,483,14.5,14.2,2.4,1.0,2.2,1.0,3.7,0.493,0.255,0.539,11.0,0.428,0.362,0.255,1.0,0.158,0.0,0.0,0.0,0.0,100.0,5.3,78
2026,clownno01,Noah Clowney,BRK,PF,19,518,16.0,4.7,2.2,0.9,0.9,2.4,3.2,0.394,0.331,0.512,19.5,0.106,0.712,0.331,1.0,0.053,0.0,0.0,4.0,88.0,8.0,9.3,76
2026,colliis01,Isaiah Collier,UTA,PG,11,250,13.2,4.0,8.9,0.9,0.7,4.0,3.3,0.508,0.273,0.534,9.4,0.203,0.186,0.273,1.0,0.0,40.0,60.0,0.0,0.0,0.0,-13.0,155
2026,collijo01,John Collins,LAC,PF,20,538,16.1,6.5,0.7,0.9,0.9,2.1,3.2,0.508,0.333,0.557,11.2,0.268,0.295,0.333,1.0,0.126,0.0,0.0,0.0,95.0,5.0,2.8,27
2026,conlemi01,Mike Conley,MIN,PG,20,396,10.5,3.5,6.3,1.1,0.3,1.4,3.1,0.41,0.439,0.56,19.1,0.108,0.687,0.439,0.92,0.0,100.0,0.0,0.0,0.0,0.0,-8.0,162
2026,coulibi01,Bilal Coulibaly,WAS,SG,10,268,13.0,5.1,4.3,1.5,1.3,2.4,3.9,0.39,0.294,0.455,13.4,0.325,0.442,0.294,1.0,0.208,1.0,79.0,21.0,0.0,0.0,7.5,81
2026,cowarce01,Cedric Coward,MEM,SG,21,569,17.5,7.9,3.6,0.8,0.4,1.8,2.7,0.452,0.354,0.533,14.5,0.219,0.457,0.354,0.912,0.048,0.0,61.0,37.0,2.0,0.0,13.4,131
